Bernard Magrez Oustric Cabernet Sauvignon,тихое,Лангедок-Руссильон,Bernard Magrez, Франция, 0,75 л, сухое, 13,50%
Casal Garcia Red Douro,тихое,Виньйо Верде,Casal Garcia, Португалия, 0,75 л, полусухое, 13%
Tareni Alcamo,тихое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, сухое, 12,00%
Martini Bianсo,вермут,Пьемонт,Martini & Rossi, Италия, 1 л, сладкое, 15,00%
Domaines Paul Mas Mas Marsanne Classic,тихое,unknown,Domaines Paul Mas, Франция, 0,75 л, сухое, 13,50%
Black Tower Dornfelder Pinot Noir,тихое,unknown,Reh Kendermann, Германия, 0,75 л, полусухое, 12,0%
Dr. Heidemanns-Bergweiler Dornfelder,тихое,Мозель,Dr. Heidemanns-Bergweiler, Германия, 0,75 л, полусладкое, 9.5%
Maison Bouey Chateau Les Grands Sarrazins Bordeaux,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,00%
Monchiero Carbone Recit Roero Arneis,тихое,Пьемонт,Monchiero Carbone, Италия, 0,375 л, сухое, 13,0%
Vina Herminia Viura,тихое,Риоха,Vina Herminia, Испания, 0,75 л, сухое, 11,5%
Col d’Orcia Rosso di Montalcino,тихое,Тоскана,Col D'Orcia, Италия, 0,375 л, сухое, 14,0%
Vina Herminia Tempranillo,тихое,Риоха,Vina Herminia, Испания, 0,75 л, сухое, 14,00%
Bernard Magrez Oustric Rose,тихое,Лангедок-Руссильон,Bernard Magrez, Франция, 0,75 л, сухое, 12,5%
Carlo Pellegrino Cent’are Nero d’Avola,тихое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, сухое, 13,50%
Tareni Nero d`Avola,тихое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, полусухое, 13,50%
Tareni Frappato,тихое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, полусухое, 13,00%
Tareni Merlo,тихое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, полусухое, 13,50%
Vallformosa LA.SALA Xarel-lo - Macabeo - Chardonnay,тихое,Пенедес,Masia Vallformosa, Испания, 0,75 л, сухое, 12,0%
G7 Reserva Shiraz,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 14,00%
G7 Reserva Cabernet Sauvignon,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 13,50%
Purcari Freedom Blend,тихое,Пуркарь,Purcari, Молдавия, 0,75 л, сухое, 13,0%
Black Tower Riesling Gewurztraminer,тихое,unknown,Reh Kendermann, Германия, 0,75 л, полусухое, 12,00%
Santa Ema Merlot Selected Terroir,тихое,Долина Качапоал,Santa Ema, Чили, 0,75 л, сухое, 13,5%
Santa Ema Cabernet Sauvignon Selected Terroir,тихое,Долина Майпо,Santa Ema, Чили, 0,75 л, полусухое, 13,5%
Vallformosa LA.SALA Tempranillo Cabernet Sauvignon Garnatxa,тихое,Пенедес,Masia Vallformosa, Испания, 0,75 л, сухое, 14,00%
Black Tower Classic Riesling,тихое,unknown,Reh Kendermann, Германия, 0,75 л, полусухое, 11,50%
Pere Ventura Vallbona Brut Seleccion Cava,игристое,Пенедес,Pere Ventura S.L., Испания, 0,75 л, брют, 11,5 %
Falesco Vitiano Bianco Vitiano,тихое,Умбрия,Falesco, Италия, 0,75 л, сухое, 12,5%
Schenk Cavatina Moscato,игристое,Венето,Schenk Italia, Италия, 0,75 л, полусладкое, 7,0%
Besini Mukuzani,тихое,Кахетия,Besini, Грузия, 0,75 л, сухое, 13,00%
Santa Ana Eco Malbec,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, сухое, 12.50%
Maison Bouey Chateau Belrose,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 14,0%
Arrogant Frog Ribet White Sauvignon Blanc,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 12,0%
Arrogant Frog Lily Pad White Viognier,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 13,50%
Arrogant Frog Ribet Pink Syrah Rose,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 13,0%
Chateau de Reguignon,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,0%
Fontana Candida Frascati Superiore,тихое,Лацио,Fontana Candida, Италия, 0,75 л, сухое, 12.5%
Le Grand Chapelain Rouge,тихое,Бордо,Antoine Moueix, Франция, 0,75 л, сухое, 13,00%
Domaine d’Oustric Cuvee Leo,тихое,Лангедок-Руссильон,Bernard Magrez, Франция, 0,75 л, сухое, 13.00%
Besini Kindzmarauli,тихое,Кахетия,Besini, Грузия, 0,75 л, полусладкое, 12,50%
Bosco Eclipse Trebbiano d’Abruzzo,тихое,Абруццо,Bosco, Италия, 0,75 л, сухое, 12,50%
Dominio de Punctum Finca Fabian Espumoso,игристое,Кастилия-Ла Манча,Dominio de Punctum, Испания, 0,75 л, полусладкое, 12,00%
Bernard Magrez Reference Cepage Cabernet Sauvignon,тихое,Бордо,Bernard Magrez, Франция, 0,75 л, сухое, 13,50%
Arrogant Frog Lily Pad Noir Pinot Noir,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 13%
Maison Bouey Maison Blanche Blanc Boise,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 11,5%
Arrogant Frog Ribet White Chardonnay-Viognier,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 13,5%
Bosco Eclipse Cerasuolo d’Abruzzo,тихое,Абруццо,Bosco, Италия, 0,75 л, сухое, 12,50%
Farnese I Muri Primitivo,тихое,Апулия,Farnese, Италия, 0,75 л, полусухое, 13,50%
Bosco Eclipse Montepulciano d’Abruzzo,тихое,Абруццо,Bosco, Италия, 0,75 л, сухое, 12,5%
Farnese I Muri Negroamaro,тихое,Апулия,Farnese, Италия, 0,75 л, полусухое, 13,00%
Farnese I Muri Bianco,тихое,Апулия,Farnese, Италия, 0,75 л, полусухое, 12,00%
Bougrier Muscadet Sevre et Maine,тихое,Долина Луары,Famille Bougrier, Франция, 0,75 л, сухое, 11,5%
Чизай Троянда Карпат (в коробке),крепленое,Закарпатская область,Чизай, Украина, 0,5 л, сладкое, 16,00%
Laroche La Chevaliere Merlot,тихое,Лангедок-Руссильон,Laroche, Франция, 0,75 л, сухое, 13,50%
Baron Philippe de Rothschild Cadet d’Oc Syrah,тихое,Лангедок-Руссильон,Mouton Cadet, Франция, 0,75 л, сухое, 13,0%
Albali Verdejo Rueda,тихое,Кастилия и Леон,Felix Solis Avantis, Испания, 0,75 л, сухое, 13,0%
La Chevaliere Cabernet Sauvignon,тихое,Лангедок-Руссильон,Laroche, Франция, 0,75 л, сухое, 13,50%
Roi Dagobert Gewurztraminer,тихое,Эльзас,Roi Dagobert, Франция, 0,375 л, полусухое, 13%
Finca Bacara Crazy Grapes (white label),тихое,Мурсия,Finca Bacara, Испания, 0,75 л, сухое, 14%
Emiliana Adobe Organic Viognier,тихое,Касабланка,Emiliana, Чили, 0,75 л, сухое, 14%
Finca Bacara Crazy Grapes (red lable),тихое,Мурсия,Finca Bacara, Испания, 0,75 л, сухое, 14%
Vinedos y Bodegas Pablo Menguante Roble Tempranillo,тихое,Арагон,Vinedos y Bodegas Pablo, Испания, 0,75 л, сухое, 14,00%
Maison Bouey Lestruelle Bordeaux,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,0%
Vignerons Catalans Ice Muscat,тихое,Лангедок-Руссильон,Vignerons Catalans, Франция, 0,75 л, сухое, 12,50%
Cantina Castelnuovo Merlot,тихое,Венето,Castelnuovo, Италия, 1,5 л, сухое, 12,0%
Arrogant Frog Ribet Red Cabernet Sauvignon-Merlot,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 13,00%
Castelnuovo Le Ballerine Bardolino,тихое,Венето,Castelnuovo, Италия, 1,5 л, сухое, 11,5%
Baron Philippe de Rothschild Cadet d’Oc Merlot,тихое,Лангедок-Руссильон,Mouton Cadet, Франция, 0,75 л, сухое, 13,5%
Maison Bouey Chateau Les Marceaux Cuvee Prestige,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 12,50%
Baron Philippe de Rothschild Cadet d’Oc Cabernet Sauvignon,тихое,Лангедок-Руссильон,Mouton Cadet, Франция, null, сухое, 13,0%
Cordier Chateau De Cappes Cedric,тихое,Бордо,Cordier, Франция, 0,75 л, сухое, 13,50%
Boutari Nemea,тихое,Пелопоннес,Boutari, Греция, 0,75 л, сухое, 12,50%
Baron Philippe de Rothschild Cadet d’Oc Viognier,тихое,Лангедок-Руссильон,Mouton Cadet, Франция, 0,75 л, сухое, 13,0%
Emiliana Adobe Carmenere,тихое,Кольчагуа,Emiliana, Чили, 0,75 л, сухое, 13,50%
Emiliana Etnico Red Blend,тихое,Долина Рапель,Emiliana, Чили, 0,75 л, сухое, 14,00%
Arrogant Frog Lily Pad White Organic Chardonnay,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 13,50%
Baron Philippe de Rothschild Cadet d’Oc Chardonnay,тихое,Лангедок-Руссильон,Mouton Cadet, Франция, 0,75 л, сухое, 13,0%
Baron Philippe de Rothschild Cadet d’Oc Sauvignon,тихое,Лангедок-Руссильон,Mouton Cadet, Франция, 0,75 л, сухое, 12,5%
Baron Philippe de Rothschild Cadet d’Oc Pinot Noir,тихое,Лангедок-Руссильон,Mouton Cadet, Франция, 0,75 л, сухое, 12,5%
Codorniu Zero (игристое, безалкогольное),безалкогольное,Каталония,Codorniu, Испания, 0,75 л, сухое, 0%
Cordier Chateau Portillon,тихое,Бордо,Cordier, Франция, 0,75 л, сухое, 12,5%
Cave du Roi Dagobert Sylvaner Tradition,тихое,Эльзас,Roi Dagobert, Франция, 0,75 л, сухое, 12,0%
Osborne Solaz Tempranillo Cabernet Sauvignon,тихое,Кастилия-Ла Манча,Osborne, Испания, 0,75 л, сухое, 14,0%
Bernard Magrez Reference Cepage Grenache Rose,тихое,Лангедок-Руссильон,Bernard Magrez, Франция, 0,75 л, сухое, 12,50%
Fantinel Borgo Tesis Sauvignon,тихое,Фриули Венеция Джулия,Fantinel, Италия, 0,75 л, сухое, 12,5%
Bodegas Care Chardonnay Viognier,тихое,Арагон,Bodegas Care, Испания, 0,75 л, сухое, 13,5%
Fantinel Borgo Tesis Cabernet Franc,тихое,Фриули Венеция Джулия,Fantinel, Италия, 0,75 л, сухое, 12,50%
Alto Douro Porca de Murca Branco,тихое,Доуро,Real Companhia Velha, Португалия, 0,75 л, сухое, 13,5%
Fantinel Borgo Tesis Friulano,тихое,Фриули Венеция Джулия,Fantinel, Италия, 0,75 л, сухое, 12,5%
Fantinel Borgo Tesis Refosco dal Peduncolo Rosso,тихое,Фриули Венеция Джулия,Fantinel, Италия, 0,75 л, сухое, 12,5%
Santa Ana Reserve Chardonnay,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, сухое, 14,0%
Marani Киндзмараули,тихое,Кахетия,Marani, Грузия, 0,75 л, полусладкое, 11,50%
Survivor Offspring Cape Red Blend,тихое,Вестерн Кейп,Overhex Wines, ЮАР, 0,75 л, сухое, 14,50 %
Cavicchioli Mille Novecento Ventotto Lambrusco di Modena,игристое,Емилия-Романия,Cavicchioli, Италия, 0,75 л, полусладкое, 10,50%
Dominio de Punctum Dulce Venganza,тихое,Вино-де-ла-Тьерра-де-Кастилья,Dominio de Punctum, Испания, 0,5 л, сладкое, 9%
Survivor Offspring Cape White Blend,тихое,Вестерн Кейп,Overhex Wines, ЮАР, 0,75 л, сухое, 13,00%
Fontana Candida Cannellino Frascati Amabile,тихое,Лацио,Fontana Candida, Италия, 0,75 л, полусладкое, 10,50%
Carpe Diem Feteasca Alba,тихое,unknown,Carpe Diem, Молдавия, 0,75 л, сухое, 12,5%
George Duboeuf Beaujolais,тихое,Бургундия,George Duboeuf, Франция, 0,75 л, сухое, 12,0%
Carpe Diem Feteasca Regala,тихое,unknown,Carpe Diem, Молдавия, 0,75 л, сухое, 12,9%
Marcel Cotes du Roussillon Rouge,тихое,Лангедок-Руссильон,Vignerons Catalans, Франция, 0,75 л, сухое, 13,5%
Pere Ventura Cuvee Especial Cava,игристое,Пенедес,Pere Ventura S.L., Испания, 0,75 л, брют, 11,5 %
Baron Philippe de Rothschild Bordeaux Blanc,тихое,Бордо,Baron Philippe de Rothschild, Франция, 0,75 л, сухое, 12,00%
Колонист Рислинг,тихое,Одесская область,Kolonist, Украина, 0,75 л, полусухое, 11,0%
Borgo Conventi Sauvignon Isonzo,тихое,Фриули Венеция Джулия,Borgo Conventi, Италия, 0,75 л, сухое, 13,5%
Fantinel Borgo Tesis Pinot Grigio,тихое,Фриули Венеция Джулия,Fantinel, Италия, 0,75 л, сухое, 12,5%
Arrogant Frog Reserve,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 14,0%
Baron Philippe de Rothschild Bordeaux Rose,тихое,Бордо,Baron Philippe de Rothschild, Франция, 0,75 л, сухое, 12%
Chateau Haut Bourcier,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,0%
Maison Bouey Chateau La Tessonniere Medoc,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 12,50%
Arnaldo Caprai Anima Umbra Grechetto Bianco,тихое,Умбрия,Arnaldo Caprai, Италия, 0,75 л, сухое, 12,5%
Castelnuovo Pinot Grigio,тихое,Венето,Castelnuovo, Италия, 1,5 л, сухое, 12,00%
Garofoli Macrina,тихое,Марке,Garofoli, Италия, 0,75 л, сухое, 13,0%
Maison Bouey Сhateau Haut-Boilon,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,0%
Bodegas Care Crianza Tempranillo Merlot,тихое,Арагон,Bodegas Care, Испания, 0,75 л, сухое, 13,5%
Castelli Del Grevepesa Vermentino di Toscana Elianto,тихое,Тоскана,Castelli Del Grevepesa, Италия, 0,75 л, сухое, 13%
Bodegas Frontaura Tierras Guindas Verdejo,тихое,Кастилия и Леон,Frontaura, Испания, 0,75 л, сухое, 13,0%
La Bioca Ariss,тихое,Ланге,La Bioca, Италия, 0,75 л, сухое, 13,5%
Baron Philippe de Rothschild Mouton Cadet Rouge Cannes Edition,тихое,Бордо,Mouton Cadet, Франция, 0,75 л, сухое, 13,00%
Fantinel Borgo Tesis Verduzzo Friulano Dolce,тихое,Фриули Венеция Джулия,Fantinel, Италия, 0,75 л, сладкое, 12,5%
Carpe Diem Femme Fatale,тихое,Кодру,Carpe Diem, Молдавия, 0,75 л, сухое, 12,5%
